Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Karol Świderski,pl POL,"FW,MF",Hellas Verona,it Serie A,26.0,1997.0,15,3,504,5.6,2,0,2,2,0,0,0,0,1.7,1.7,0.4,2.2,3.0,13.0,19.0,0.36,0.0,0.36,0.36,0.36,0.31,0.08,0.39,0.31,0.39
Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,20.0,2002.0,22,19,1792,19.9,2,0,2,2,0,0,4,0,1.6,1.6,0.5,2.0,8.0,72.0,2.0,0.1,0.0,0.1,0.1,0.1,0.08,0.02,0.1,0.08,0.1
Dembo Sylla,gn GUI,DF,Lorient,fr Ligue 1,20.0,2002.0,1,0,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21
Issiaga Sylla,gn GUI,"DF,FW",Montpellier,fr Ligue 1,29.0,1994.0,19,17,1455,16.2,1,2,3,1,0,0,3,0,1.4,1.4,1.7,3.1,29.0,43.0,51.0,0.06,0.12,0.19,0.06,0.19,0.09,0.11,0.19,0.09,0.19
Mamadou Sylla,sn SEN,"FW,MF",Alavés,es La Liga,29.0,1994.0,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attila Szalai,hu HUN,DF,Hoffenheim,de Bundesliga,25.0,1998.0,4,4,288,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,2.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16
Attila Szalai,hu HUN,DF,Freiburg,de Bundesliga,25.0,1998.0,3,0,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11
Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,33.0,1990.0,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominik Szoboszlai,hu HUN,MF,Liverpool,eng Premier League,22.0,2000.0,33,25,2104,23.4,3,2,5,3,0,0,1,0,3.7,3.7,5.8,9.5,75.0,152.0,160.0,0.13,0.09,0.21,0.13,0.21,0.16,0.25,0.4,0.16,0.4
Przemysław Szymiński,pl POL,MF,Frosinone,it Serie A,29.0,1994.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Musa Al-Taamari,jo JOR,FW,Montpellier,fr Ligue 1,26.0,1997.0,27,24,1928,21.4,5,2,7,5,0,0,0,0,3.6,3.6,3.5,7.1,81.0,54.0,168.0,0.23,0.09,0.33,0.23,0.33,0.17,0.16,0.33,0.17,0.33
Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,30.0,1992.0,25,25,2123,23.6,3,1,4,3,0,0,7,1,2.6,2.6,1.0,3.5,32.0,105.0,119.0,0.13,0.04,0.17,0.13,0.17,0.11,0.04,0.15,0.11,0.15
Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,27.0,1996.0,31,30,2631,29.2,4,1,5,4,0,0,6,0,2.1,2.1,0.3,2.3,17.0,133.0,4.0,0.14,0.03,0.17,0.14,0.17,0.07,0.01,0.08,0.07,0.08
Montassar Talbi,tn TUN,DF,Lorient,fr Ligue 1,25.0,1998.0,25,25,2204,24.5,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,15.0,88.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Yassin Tallal,es ESP,FW,Getafe,es La Liga,18.0,2005.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrien Tameze,cm CMR,"DF,MF",Torino,it Serie A,29.0,1994.0,29,25,2146,23.8,0,2,2,0,0,0,6,1,0.7,0.7,2.2,2.9,22.0,90.0,39.0,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.12,0.03,0.12
Renato Tapia,pe PER,"MF,DF",Celta Vigo,es La Liga,28.0,1995.0,21,15,1337,14.9,0,0,0,0,0,0,5,1,1.0,1.0,0.6,1.6,9.0,61.0,14.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11
Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,24.0,1999.0,28,23,2087,23.2,0,1,1,0,0,0,4,0,1.0,1.0,1.0,2.0,49.0,164.0,12.0,0.0,0.04,0.04,0.0,0.04,0.04,0.04,0.08,0.04,0.08
Matt Targett,eng ENG,DF,Newcastle Utd,eng Premier League,27.0,1995.0,3,1,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Oussama Targhalline,ma MAR,MF,Le Havre,fr Ligue 1,21.0,2002.0,14,12,1025,11.4,0,0,0,0,0,0,4,1,0.2,0.2,0.4,0.6,27.0,70.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
César Tárrega,es ESP,DF,Valencia,es La Liga,21.0,2002.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimi Tauriainen,eng ENG,FW,Chelsea,eng Premier League,19.0,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuno Tavares,pt POR,DF,Nott'ham Forest,eng Premier League,23.0,2000.0,8,5,457,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,14.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13
Marcus Tavernier,eng ENG,FW,Bournemouth,eng Premier League,24.0,1999.0,30,25,2118,23.5,3,4,7,3,0,0,3,0,3.9,3.9,5.2,9.1,79.0,84.0,171.0,0.13,0.17,0.3,0.13,0.3,0.17,0.22,0.39,0.17,0.39
Elayis Tavsan,nl NED,"MF,FW",Hellas Verona,it Serie A,22.0,2001.0,3,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19
Charlie Taylor,eng ENG,DF,Burnley,eng Premier League,29.0,1993.0,28,25,2331,25.9,1,1,2,1,0,0,8,0,0.2,0.2,1.2,1.5,36.0,82.0,81.0,0.04,0.04,0.08,0.04,0.08,0.01,0.05,0.06,0.01,0.06
Marciano Tchami,gw GNB,"FW,MF",Almería,es La Liga,19.0,2004.0,6,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.17,0.06,0.17
Loum Tchaouna,fr FRA,"FW,MF",Salernitana,it Serie A,19.0,2003.0,33,23,2100,23.3,4,3,7,4,0,0,4,0,2.6,2.6,1.5,4.1,72.0,59.0,151.0,0.17,0.13,0.3,0.17,0.3,0.11,0.06,0.18,0.11,0.18
Jackson Tchatchoua,cm CMR,DF,Hellas Verona,it Serie A,21.0,2001.0,26,19,1725,19.2,0,2,2,0,0,0,2,0,0.0,0.0,1.3,1.3,34.0,53.0,66.0,0.0,0.1,0.1,0.0,0.1,0.0,0.07,0.07,0.0,0.07
Enzo Tchato,cm CMR,DF,Montpellier,fr Ligue 1,20.0,2002.0,17,11,1125,12.5,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,26.0,46.0,57.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05
Aurélien Tchouaméni,fr FRA,"MF,DF",Real Madrid,es La Liga,23.0,2000.0,27,22,1987,22.1,3,1,4,3,0,0,7,0,1.3,1.3,0.9,2.1,28.0,111.0,15.0,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.1,0.06,0.1
Mathys Tel,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,18.0,2005.0,30,6,1050,11.7,7,5,12,7,0,0,2,0,3.7,3.7,2.3,6.0,45.0,27.0,122.0,0.6,0.43,1.03,0.6,1.03,0.32,0.2,0.52,0.32,0.52
Nathan Tella,ng NGA,"DF,MF",Leverkusen,de Bundesliga,24.0,1999.0,24,8,819,9.1,5,2,7,5,0,0,2,0,3.5,3.5,3.2,6.7,35.0,28.0,114.0,0.55,0.22,0.77,0.55,0.77,0.38,0.35,0.73,0.38,0.73
Nahuel Tenaglia,ar ARG,DF,Alavés,es La Liga,27.0,1996.0,25,11,1141,12.7,1,0,1,1,0,0,5,0,0.6,0.6,0.5,1.2,17.0,45.0,24.0,0.08,0.0,0.08,0.08,0.08,0.05,0.04,0.09,0.05,0.09
Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,22.0,2001.0,6,5,529,5.9,0,1,1,0,0,0,0,0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.13,0.13,0.0,0.13
Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,31.0,1992.0,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filippo Terracciano,it ITA,DF,Hellas Verona,it Serie A,20.0,2003.0,18,14,1296,14.4,0,1,1,0,0,0,1,0,0.3,0.3,1.0,1.3,26.0,51.0,28.0,0.0,0.07,0.07,0.0,0.07,0.02,0.07,0.09,0.02,0.09
Filippo Terracciano,it ITA,"DF,FW",Milan,it Serie A,20.0,2003.0,3,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,33.0,1990.0,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Ramón Terrats,es ESP,"MF,DF",Villarreal,es La Liga,22.0,2000.0,19,6,785,8.7,0,2,2,0,0,0,4,0,0.4,0.4,1.6,1.9,19.0,38.0,54.0,0.0,0.23,0.23,0.0,0.23,0.04,0.18,0.22,0.04,0.22
Martin Terrier,fr FRA,"FW,MF",Rennes,fr Ligue 1,26.0,1997.0,24,19,1527,17.0,7,3,10,7,0,0,2,1,5.2,5.2,2.6,7.8,28.0,58.0,112.0,0.41,0.18,0.59,0.41,0.59,0.31,0.15,0.46,0.31,0.46
Kenny Tete,nl NED,DF,Fulham,eng Premier League,27.0,1995.0,14,10,867,9.6,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.2,20.0,54.0,38.0,0.1,0.0,0.1,0.1,0.1,0.09,0.04,0.13,0.09,0.13
Benjamin Tetteh,gh GHA,"FW,MF",Metz,fr Ligue 1,26.0,1997.0,12,1,278,3.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.3,3.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.11,0.08,0.11
Teddy Teuma,mt MLT,MF,Reims,fr Ligue 1,29.0,1993.0,28,25,2113,23.5,6,3,9,5,1,1,7,0,3.1,2.3,3.7,6.0,29.0,157.0,112.0,0.26,0.13,0.38,0.21,0.34,0.13,0.16,0.29,0.1,0.26
Florian Thauvin,fr FRA,FW,Udinese,it Serie A,30.0,1993.0,29,19,1710,19.0,5,3,8,4,1,1,4,0,4.7,3.9,4.2,8.2,71.0,69.0,97.0,0.26,0.16,0.42,0.21,0.37,0.25,0.22,0.47,0.21,0.43
Arthur Theate,be BEL,DF,Rennes,fr Ligue 1,23.0,2000.0,28,27,2296,25.5,2,0,2,2,0,0,4,0,1.9,1.9,0.8,2.7,33.0,151.0,24.0,0.08,0.0,0.08,0.08,0.08,0.07,0.03,0.11,0.07,0.11
Norman Theuerkauf,de GER,"MF,DF",Heidenheim,de Bundesliga,36.0,1987.0,25,14,1259,14.0,0,1,1,0,0,0,3,0,0.4,0.4,0.8,1.2,15.0,46.0,17.0,0.0,0.07,0.07,0.0,0.07,0.03,0.06,0.09,0.03,0.09
Malick Thiaw,de GER,DF,Milan,it Serie A,21.0,2001.0,21,19,1619,18.0,0,1,1,0,0,0,5,1,0.6,0.6,0.1,0.7,15.0,70.0,1.0,0.0,0.06,0.06,0.0,0.06,0.03,0.01,0.04,0.03,0.04
Jan Thielmann,de GER,"FW,DF",Köln,de Bundesliga,21.0,2002.0,22,20,1579,17.5,1,0,1,1,0,0,4,1,2.3,2.3,1.1,3.3,46.0,51.0,69.0,0.06,0.0,0.06,0.06,0.06,0.13,0.06,0.19,0.13,0.19
Denis Thomalla,de GER,"MF,FW",Heidenheim,de Bundesliga,30.0,1992.0,21,3,446,5.0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.13,0.06,0.13
Luke Thomas,eng ENG,DF,Sheffield Utd,eng Premier League,22.0,2001.0,12,11,917,10.2,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,8.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.05,0.06
Adrien Thomasson,fr FRA,MF,Lens,fr Ligue 1,29.0,1993.0,29,13,1193,13.3,1,2,3,1,0,0,2,1,3.8,3.8,3.9,7.7,20.0,68.0,121.0,0.08,0.15,0.23,0.08,0.23,0.29,0.29,0.58,0.29,0.58
Morten Thorsby,no NOR,MF,Genoa,it Serie A,27.0,1996.0,24,9,1157,12.9,2,2,4,2,0,0,2,0,1.8,1.8,1.4,3.2,6.0,28.0,39.0,0.16,0.16,0.31,0.16,0.31,0.14,0.11,0.25,0.14,0.25
Kristian Thorstvedt,no NOR,MF,Sassuolo,it Serie A,24.0,1999.0,34,30,2397,26.6,6,1,7,6,0,0,7,0,4.4,4.4,1.6,5.9,30.0,130.0,94.0,0.23,0.04,0.26,0.23,0.26,0.16,0.06,0.22,0.16,0.22
Khéphren Thuram,fr FRA,MF,Nice,fr Ligue 1,22.0,2001.0,27,25,2108,23.4,1,1,2,1,0,0,7,0,3.4,3.4,3.7,7.0,67.0,104.0,57.0,0.04,0.04,0.09,0.04,0.09,0.14,0.16,0.3,0.14,0.3
Cheikh Tidiane Sabaly,sn SEN,"FW,MF",Metz,fr Ligue 1,24.0,1999.0,29,17,1379,15.3,3,1,4,3,0,0,4,0,2.7,2.7,1.2,3.8,37.0,36.0,75.0,0.2,0.07,0.26,0.2,0.26,0.17,0.08,0.25,0.17,0.25
Youri Tielemans,be BEL,"MF,FW",Aston Villa,eng Premier League,26.0,1997.0,32,17,1622,18.0,2,6,8,2,0,0,3,0,1.3,1.3,2.6,3.9,23.0,128.0,46.0,0.11,0.33,0.44,0.11,0.44,0.07,0.14,0.21,0.07,0.21
Kieran Tierney,sct SCO,DF,Real Sociedad,es La Liga,26.0,1997.0,20,14,1238,13.8,0,2,2,0,0,0,1,0,0.2,0.2,0.6,0.8,22.0,77.0,39.0,0.0,0.15,0.15,0.0,0.15,0.01,0.05,0.06,0.01,0.06
Phillip Tietz,de GER,FW,Augsburg,de Bundesliga,26.0,1997.0,34,31,2382,26.5,8,4,12,8,0,0,1,0,8.2,8.2,2.6,10.8,19.0,51.0,115.0,0.3,0.15,0.45,0.3,0.45,0.31,0.1,0.41,0.31,0.41
Steffen Tigges,de GER,FW,Köln,de Bundesliga,25.0,1998.0,25,6,727,8.1,3,0,3,3,0,0,0,0,2.6,2.6,1.6,4.1,9.0,10.0,48.0,0.37,0.0,0.37,0.37,0.37,0.32,0.19,0.51,0.32,0.51
Antonio Tikvić,hr CRO,DF,Udinese,it Serie A,19.0,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jurriën Timber,nl NED,DF,Arsenal,eng Premier League,22.0,2001.0,2,1,71,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Clair Todibo,fr FRA,DF,Nice,fr Ligue 1,23.0,1999.0,30,30,2651,29.5,0,2,2,0,0,0,2,1,0.6,0.6,1.6,2.2,32.0,150.0,11.0,0.0,0.07,0.07,0.0,0.07,0.02,0.06,0.08,0.02,0.08
Harry Toffolo,eng ENG,DF,Nott'ham Forest,eng Premier League,27.0,1995.0,23,15,1459,16.2,1,3,4,1,0,0,3,0,1.6,1.6,1.5,3.2,10.0,42.0,34.0,0.06,0.19,0.25,0.06,0.25,0.1,0.1,0.2,0.1,0.2
Umut Tohumcu,de GER,MF,Hoffenheim,de Bundesliga,18.0,2004.0,20,12,1011,11.2,0,2,2,0,0,0,5,0,0.5,0.5,1.1,1.6,18.0,46.0,27.0,0.0,0.18,0.18,0.0,0.18,0.04,0.1,0.14,0.04,0.14
Corentin Tolisso,fr FRA,MF,Lyon,fr Ligue 1,28.0,1994.0,25,21,1741,19.3,2,1,3,1,1,1,5,0,3.2,2.4,1.8,4.2,30.0,153.0,67.0,0.1,0.05,0.16,0.05,0.1,0.17,0.09,0.26,0.13,0.22
Jeremy Toljan,de GER,DF,Sassuolo,it Serie A,28.0,1994.0,25,24,2083,23.1,0,5,5,0,0,0,1,0,0.6,0.6,1.6,2.1,35.0,79.0,85.0,0.0,0.22,0.22,0.0,0.22,0.02,0.07,0.09,0.02,0.09
Rafael Tolói,it ITA,DF,Atalanta,it Serie A,32.0,1990.0,18,10,965,10.7,0,0,0,0,0,0,6,1,0.1,0.1,0.1,0.1,8.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Raúl de Tomás,es ESP,FW,Rayo Vallecano,es La Liga,28.0,1994.0,25,15,1272,14.1,1,2,3,0,1,1,5,0,3.4,2.6,1.3,3.9,11.0,23.0,73.0,0.07,0.14,0.21,0.0,0.14,0.24,0.09,0.33,0.18,0.28
Tiago Tomás,pt POR,"FW,MF",Wolfsburg,de Bundesliga,21.0,2002.0,26,11,1032,11.5,1,1,2,1,0,0,3,0,2.7,2.7,0.8,3.5,21.0,17.0,112.0,0.09,0.09,0.17,0.09,0.17,0.23,0.07,0.3,0.23,0.3
Takehiro Tomiyasu,jp JPN,DF,Arsenal,eng Premier League,24.0,1998.0,22,10,1149,12.8,2,1,3,2,0,0,2,1,1.5,1.5,0.4,1.9,17.0,72.0,37.0,0.16,0.08,0.23,0.16,0.23,0.12,0.03,0.15,0.12,0.15
James Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,34.0,1989.0,4,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fikayo Tomori,eng ENG,DF,Milan,it Serie A,25.0,1997.0,26,24,2121,23.6,4,0,4,4,0,0,8,1,3.7,3.7,0.2,3.9,16.0,63.0,2.0,0.17,0.0,0.17,0.17,0.17,0.16,0.01,0.16,0.16,0.16
Sandro Tonali,it ITA,MF,Newcastle Utd,eng Premier League,23.0,2000.0,8,5,438,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,11.0,19.0,21.0,0.21,0.0,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26
Ivan Toney,eng ENG,FW,Brentford,eng Premier League,27.0,1996.0,17,16,1450,16.1,4,2,6,4,0,0,5,0,6.0,6.0,1.5,7.4,23.0,40.0,98.0,0.25,0.12,0.37,0.25,0.37,0.37,0.09,0.46,0.37,0.46
Pablo Torre,es ESP,"MF,FW",Girona,es La Liga,20.0,2003.0,26,4,701,7.8,0,2,2,0,0,0,1,0,0.8,0.8,0.9,1.6,25.0,65.0,40.0,0.0,0.26,0.26,0.0,0.26,0.1,0.11,0.21,0.1,0.21
Raúl Torrente,es ESP,DF,Granada,es La Liga,21.0,2001.0,17,14,1250,13.9,0,0,0,0,0,0,4,0,0.2,0.2,0.4,0.6,4.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
Ferrán Torres,es ESP,FW,Barcelona,es La Liga,23.0,2000.0,29,12,1211,13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,30.0,44.0,113.0,0.52,0.15,0.67,0.52,0.67,0.41,0.2,0.61,0.41,0.61
Óliver Torres,es ESP,MF,Sevilla,es La Liga,28.0,1994.0,27,18,1616,18.0,0,1,1,0,0,0,3,0,0.5,0.5,2.2,2.7,40.0,96.0,110.0,0.0,0.06,0.06,0.0,0.06,0.03,0.12,0.15,0.03,0.15
Pau Torres,es ESP,DF,Aston Villa,eng Premier League,26.0,1997.0,29,27,2464,27.4,2,0,2,2,0,0,1,0,1.0,1.0,0.4,1.4,42.0,128.0,16.0,0.07,0.0,0.07,0.07,0.07,0.04,0.02,0.05,0.04,0.05
Lucas Torró,es ESP,MF,Osasuna,es La Liga,29.0,1994.0,28,21,1788,19.9,1,0,1,1,0,0,5,0,1.5,1.5,0.6,2.0,3.0,60.0,15.0,0.05,0.0,0.05,0.05,0.05,0.07,0.03,0.1,0.07,0.1
Fabio Torsiello,it ITA,"FW,DF",Darmstadt 98,de Bundesliga,18.0,2005.0,10,1,156,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16
Ahmed Touba,dz ALG,DF,Lecce,it Serie A,25.0,1998.0,6,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Abdoulaye Touré,gn GUI,MF,Le Havre,fr Ligue 1,29.0,1994.0,30,27,2284,25.4,2,0,2,0,2,2,4,0,3.0,1.4,0.9,2.3,22.0,148.0,25.0,0.08,0.0,0.08,0.0,0.0,0.12,0.04,0.15,0.05,0.09
Souleymane Touré,fr FRA,DF,Lorient,fr Ligue 1,20.0,2003.0,24,23,2051,22.8,1,1,2,1,0,0,6,0,1.7,1.7,0.4,2.2,24.0,73.0,25.0,0.04,0.04,0.09,0.04,0.09,0.08,0.02,0.1,0.08,0.1
Lucas Tousart,fr FRA,MF,Union Berlin,de Bundesliga,26.0,1997.0,23,18,1572,17.5,0,0,0,0,0,0,5,0,1.5,1.5,0.9,2.4,15.0,51.0,33.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,0.14
Andros Townsend,eng ENG,"MF,FW",Luton Town,eng Premier League,32.0,1991.0,27,14,1210,13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.3,2.5,47.0,35.0,71.0,0.07,0.22,0.3,0.07,0.3,0.09,0.1,0.19,0.09,0.19
James Trafford,eng ENG,GK,Burnley,eng Premier League,20.0,2002.0,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adama Traoré,es ESP,"FW,MF",Fulham,eng Premier League,27.0,1996.0,17,1,377,4.2,2,3,5,2,0,0,2,0,1.5,1.5,0.7,2.2,29.0,16.0,48.0,0.48,0.72,1.19,0.48,1.19,0.36,0.17,0.53,0.36,0.53
Bertrand Traoré,bf BFA,"DF,FW",Aston Villa,eng Premier League,27.0,1995.0,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bertrand Traoré,bf BFA,MF,Villarreal,es La Liga,27.0,1995.0,11,6,568,6.3,1,0,1,1,0,0,4,0,0.9,0.9,0.4,1.3,29.0,30.0,63.0,0.16,0.0,0.16,0.16,0.16,0.15,0.06,0.21,0.15,0.21
Boubacar Traoré,ml MLI,MF,Wolves,eng Premier League,21.0,2001.0,24,7,819,9.1,0,0,0,0,0,0,4,0,0.3,0.3,0.4,0.7,9.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07
Daouda Traoré,fr FRA,MF,Nice,fr Ligue 1,17.0,2006.0,1,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34
Hamari Traoré,ml MLI,DF,Real Sociedad,es La Liga,31.0,1992.0,31,27,2292,25.5,0,2,2,0,0,0,7,0,0.5,0.5,1.5,2.1,49.0,129.0,83.0,0.0,0.08,0.08,0.0,0.08,0.02,0.06,0.08,0.02,0.08
Ismaël Traoré,ci CIV,DF,Metz,fr Ligue 1,36.0,1986.0,26,25,2220,24.7,2,0,2,2,0,0,2,0,0.8,0.8,0.2,1.0,1.0,32.0,1.0,0.08,0.0,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04
Omar Traoré,de GER,DF,Heidenheim,de Bundesliga,25.0,1998.0,31,29,2472,27.5,0,2,2,0,0,0,5,0,0.3,0.3,1.3,1.6,61.0,78.0,91.0,0.0,0.07,0.07,0.0,0.07,0.01,0.05,0.06,0.01,0.06
Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,33.0,1990.0,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,24.0,1999.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Óscar Trejo,ar ARG,"FW,MF",Rayo Vallecano,es La Liga,35.0,1988.0,31,19,1380,15.3,0,0,0,0,0,0,4,1,0.9,0.9,1.3,2.2,28.0,124.0,81.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14
Mike Trésor,be BEL,"FW,MF",Burnley,eng Premier League,24.0,1999.0,16,3,420,4.7,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,15.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.18,0.1,0.18
Manu Trigueros,es ESP,MF,Villarreal,es La Liga,31.0,1991.0,14,2,309,3.4,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,7.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2
